-90,-25.301
-89,-25.067
-88,-24.829
-87,-24.587
-86,-24.342
-85,-24.094
-84,-23.842
-83,-23.588
-82,-23.330
-81,-23.070
-80,-22.807
-79,-22.542
-78,-22.274
-77,-22.004
-76,-21.731
-75,-21.457
-74,-21.180
-73,-20.902
-72,-20.622
-71,-20.340
-70,-20.057
-69,-19.772
-68,-19.486
-67,-19.198
-66,-18.910
-65,-18.620
-64,-18.329
-63,-18.037
-62,-17.744
-61,-17.450
-60,-17.156
-59,-16.860
-58,-16.565
-57,-16.268
-56,-15.971
-55,-15.674
-54,-15.377
-53,-15.079
-52,-14.781
-51,-14.482
-50,-14.184
-49,-13.885
-48,-13.587
-47,-13.288
-46,-12.990
-45,-12.692
-44,-12.394
-43,-12.096
-42,-11.798
-41,-11.501
-40,-11.204
-39,-10.908
-38,-10.612
-37,-10.317
-36,-10.022
-35,-9.727
-34,-9.433
-33,-9.140
-32,-8.848
-31,-8.556
-30,-8.265
-29,-7.974
-28,-7.685
-27,-7.396
-26,-7.108
-25,-6.821
-24,-6.535
-23,-6.250
-22,-5.966
-21,-5.683
-20,-5.401
-19,-5.120
-18,-4.839
-17,-4.560
-16,-4.283
-15,-4.006
-14,-3.730
-13,-3.456
-12,-3.182
-11,-2.910
-10,-2.639
-9,-2.370
-8,-2.101
-7,-1.834
-6,-1.568
-5,-1.303
-4,-1.040
-3,-0.778
-2,-0.517
-1,-0.258
0,0.000
1,0.257
2,0.512
3,0.766
4,1.018
5,1.269
6,1.519
7,1.767
8,2.014
9,2.260
10,2.503
11,2.746
12,2.987
13,3.226
14,3.465
15,3.701
16,3.936
17,4.170
18,4.402
19,4.633
20,4.862
21,5.089
22,5.315
23,5.540
24,5.763
25,5.984
26,6.204
27,6.423
28,6.640
29,6.855
30,7.069
31,7.281
32,7.492
33,7.701
34,7.908
35,8.114
36,8.319
37,8.522
38,8.723
39,8.923
40,9.121
41,9.318
42,9.513
43,9.707
44,9.899
45,10.089
46,10.278
47,10.465
48,10.651
49,10.835
50,11.018
51,11.199
52,11.378
53,11.556
54,11.732
55,11.907
56,12.080
57,12.251
58,12.421
59,12.590
60,12.757
61,12.922
62,13.085
63,13.247
64,13.408
65,13.567
66,13.724
67,13.880
68,14.034
69,14.186
70,14.337
71,14.486
72,14.634
73,14.780
74,14.924
75,15.067
76,15.208
77,15.347
78,15.485
79,15.621
80,15.756
81,15.888
82,16.019
83,16.149
84,16.276
85,16.402
86,16.527
87,16.649
88,16.770
89,16.889
90,17.006
